"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2022","EQ","199.90","200.14","197.70","198.78","198.18","198.04","198.82","223.00","153.30","1,739,603","345,865,234.75","22,022"
"29-Dec-2022","EQ","197.90","199.08","196.76","197.99","198.91","198.78","197.79","223.00","153.30","2,374,539","469,653,783.12","20,807"
"28-Dec-2022","EQ","198.95","198.95","197.01","198.00","198.04","197.99","197.97","223.00","153.30","1,880,252","372,235,305.52","18,172"
"27-Dec-2022","EQ","198.91","198.91","196.58","197.23","198.00","198.00","197.83","223.00","153.30","2,669,146","528,031,088.33","23,170"
"26-Dec-2022","EQ","198.51","198.51","194.80","195.15","197.30","197.23","196.54","223.00","153.30","3,648,955","717,163,496.19","35,968"
"23-Dec-2022","EQ","201.43","201.43","194.80","198.55","195.70","195.15","196.15","223.00","153.30","8,961,067","1,757,712,462.45","66,283"
"22-Dec-2022","EQ","199.40","202.31","197.90","199.40","198.48","198.55","198.71","223.00","153.30","3,234,997","642,817,359.03","38,871"
"21-Dec-2022","EQ","203.95","203.95","199.00","201.21","199.69","199.40","200.24","223.00","153.30","2,461,367","492,856,433.96","31,236"
"20-Dec-2022","EQ","203.85","203.85","199.25","201.67","201.42","201.21","200.08","223.00","153.30","2,308,276","461,836,594.97","33,675"
"19-Dec-2022","EQ","201.42","201.79","198.66","200.16","201.65","201.67","201.02","223.00","153.30","1,720,911","345,935,273.20","28,780"
"16-Dec-2022","EQ","202.35","202.35","200.00","201.58","200.29","200.16","200.68","223.00","153.30","2,171,653","435,816,788.12","33,857"
"15-Dec-2022","EQ","204.75","204.75","201.32","204.35","201.75","201.58","202.53","223.00","153.30","2,332,679","472,433,847.33","34,718"
"14-Dec-2022","EQ","204.99","204.99","203.77","203.77","204.37","204.35","204.38","223.00","153.30","1,172,749","239,691,861.32","16,242"
"13-Dec-2022","EQ","207.49","207.49","202.31","202.61","203.80","203.77","203.18","223.00","153.30","1,196,576","243,115,817.91","16,764"
"12-Dec-2022","EQ","204.80","205.80","200.55","202.48","202.70","202.61","202.22","223.00","153.30","1,734,167","350,679,752.87","29,990"
"09-Dec-2022","EQ","207.49","207.49","201.71","203.62","202.40","202.48","202.73","223.00","153.30","2,109,284","427,616,333.17","30,394"
"08-Dec-2022","EQ","176.50","203.80","176.50","202.87","203.80","203.62","203.22","223.00","153.30","1,374,081","279,244,677.96","18,415"
"07-Dec-2022","EQ","203.87","207.24","202.60","204.14","202.73","202.87","203.38","223.00","153.30","1,710,285","347,836,262.04","25,804"
"06-Dec-2022","EQ","206.48","206.48","203.50","204.44","204.39","204.14","203.87","223.00","153.30","1,902,955","387,964,838.83","23,558"
"05-Dec-2022","EQ","207.49","207.49","203.65","204.81","204.53","204.44","204.24","223.00","153.30","1,627,546","332,404,373.38","37,687"
"02-Dec-2022","EQ","207.49","207.49","203.90","205.54","205.00","204.81","204.58","223.00","153.30","2,370,387","484,927,485.44","32,540"
"01-Dec-2022","EQ","207.49","207.49","204.73","204.70","205.50","205.54","205.78","223.00","153.30","2,261,605","465,382,687.08","29,073"
"30-Nov-2022","EQ","207.48","207.48","202.75","203.43","204.87","204.70","204.22","223.00","153.30","1,923,386","392,787,266.46","20,957"
"29-Nov-2022","EQ","207.49","207.49","201.91","203.04","203.40","203.43","203.70","223.00","153.30","1,317,579","268,393,835.09","21,157"
"28-Nov-2022","EQ","203.52","203.52","200.91","202.35","203.01","203.04","202.99","223.00","153.30","1,977,790","401,463,346.20","29,038"
"25-Nov-2022","EQ","202.37","202.64","201.44","201.72","202.30","202.35","202.00","223.00","153.30","1,925,380","388,919,250.93","22,438"
"24-Nov-2022","EQ","200.72","202.22","199.45","199.51","202.19","201.72","200.87","223.00","153.30","2,727,692","547,898,179.11","21,420"
"23-Nov-2022","EQ","200.52","200.52","199.17","199.23","199.42","199.51","199.67","223.00","153.30","840,243","167,768,554.84","14,160"
"22-Nov-2022","EQ","199.73","199.73","198.01","198.55","199.39","199.23","198.93","223.00","153.30","1,091,138","217,064,106.81","16,561"
"21-Nov-2022","EQ","199.99","199.99","198.40","199.92","198.60","198.55","198.68","223.00","153.30","1,737,709","345,241,591.62","29,150"
"18-Nov-2022","EQ","201.25","201.25","199.06","200.20","199.95","199.92","199.73","223.00","153.30","1,728,259","345,177,412.50","22,839"
"17-Nov-2022","EQ","201.25","201.25","199.45","200.87","200.10","200.20","200.54","223.00","153.30","1,304,936","261,694,076.21","18,074"
"16-Nov-2022","EQ","201.95","201.95","200.28","200.91","200.89","200.87","200.82","223.00","153.30","1,886,431","378,841,603.33","19,022"
"15-Nov-2022","EQ","201.67","201.67","199.80","200.17","201.16","200.91","200.36","223.00","153.30","1,776,273","355,896,784.66","21,856"
"14-Nov-2022","EQ","200.70","200.96","199.02","200.22","200.25","200.17","200.37","223.00","153.30","2,067,441","414,260,676.05","27,857"
"11-Nov-2022","EQ","199.37","200.35","198.45","196.86","200.35","200.22","199.85","223.00","153.30","4,245,671","848,514,220.31","26,023"
"10-Nov-2022","EQ","198.20","198.20","196.25","198.32","196.95","196.86","196.88","223.00","153.30","3,993,577","786,252,310.24","29,912"
"09-Nov-2022","EQ","203.49","203.49","198.15","198.62","198.30","198.32","198.77","223.00","153.30","2,373,360","471,758,552.14","28,495"
"07-Nov-2022","EQ","199.00","199.40","197.42","197.77","198.67","198.62","198.28","223.00","153.30","2,821,469","559,446,970.55","34,470"
"04-Nov-2022","EQ","198.60","198.60","196.70","197.39","198.00","197.77","197.30","223.00","153.30","1,577,276","311,203,641.87","21,228"
"03-Nov-2022","EQ","197.40","197.82","194.60","197.41","197.45","197.39","197.19","223.00","153.30","2,800,681","552,279,706.09","25,306"
"02-Nov-2022","EQ","198.80","198.80","197.07","197.98","197.45","197.41","197.53","223.00","153.30","1,911,519","377,585,237.61","25,052"
"01-Nov-2022","EQ","197.80","198.24","196.36","196.27","198.04","197.98","197.76","223.00","153.30","3,943,610","779,872,205.66","34,022"
"31-Oct-2022","EQ","195.70","196.50","194.50","193.96","196.45","196.27","196.07","223.00","153.30","8,882,827","1,741,612,364.43","32,837"
"28-Oct-2022","EQ","194.70","194.70","193.01","193.45","194.00","193.96","193.97","223.00","153.30","3,761,604","729,654,330.72","21,484"
"27-Oct-2022","EQ","192.61","194.15","192.61","192.49","193.52","193.45","193.37","223.00","153.30","2,769,911","535,614,661.85","23,983"
